,timestamp,date,messages,close,high,low,open,volume
0,2014-11-13,2014-11-13 00:00:00,3683.0,112.82,113.45,111.6,111.8,59418180
1,2014-11-14,2014-11-14 00:00:00,4055.0,114.18,114.19,113.05,113.15,43789060
2,2014-11-15,2014-11-15 00:00:00,4298.0,114.18,114.19,113.05,113.15,43789060
3,2014-11-16,2014-11-16 00:00:00,4329.0,114.18,114.19,113.05,113.15,43789060
4,2014-11-17,2014-11-17 00:00:00,4772.0,113.99,117.28,113.3,114.27,46687710
5,2014-11-18,2014-11-18 00:00:00,5025.0,115.47,115.69,113.89,113.94,44163250
6,2014-11-19,2014-11-19 00:00:00,5169.0,114.67,115.74,113.8,115.44,41815550
7,2014-11-20,2014-11-20 00:00:00,5061.0,116.31,116.86,114.85,114.91,43148650
8,2014-11-21,2014-11-21 00:00:00,5117.0,116.47,117.57,116.03,117.51,56759320
9,2014-11-22,2014-11-22 00:00:00,4949.0,116.47,117.57,116.03,117.51,56759320
10,2014-11-23,2014-11-23 00:00:00,4946.0,116.47,117.57,116.03,117.51,56759320
11,2014-11-24,2014-11-24 00:00:00,5069.0,118.625,118.77,116.62,116.85,46867340
12,2014-11-25,2014-11-25 00:00:00,6060.0,117.6,119.75,117.45,119.07,68719930
13,2014-11-26,2014-11-26 00:00:00,6353.0,119,119.1,117.83,117.94,40756950
14,2014-11-27,2014-11-27 00:00:00,5989.0,119,119.1,117.83,117.94,40756950
15,2014-11-28,2014-11-28 00:00:00,5583.0,118.93,119.4,118.05,119.27,24814400
16,2014-11-29,2014-11-29 00:00:00,5163.0,118.93,119.4,118.05,119.27,24814400
17,2014-11-30,2014-11-30 00:00:00,5165.0,118.93,119.4,118.05,119.27,24814400
18,2014-12-01,2014-12-01 00:00:00,5634.0,115.07,119.25,111.27,118.81,83657780
19,2014-12-02,2014-12-02 00:00:00,5821.0,114.63,115.75,112.75,113.5,59205320
20,2014-12-03,2014-12-03 00:00:00,5451.0,115.93,116.35,115.11,115.75,42956200
21,2014-12-04,2014-12-04 00:00:00,5892.0,115.49,117.2,115.29,115.77,42068020
22,2014-12-05,2014-12-05 00:00:00,6540.0,115,116.08,114.64,115.99,38230970
23,2014-12-06,2014-12-06 00:00:00,6871.0,115,116.08,114.64,115.99,38230970
24,2014-12-07,2014-12-07 00:00:00,6865.0,115,116.08,114.64,115.99,38230970
25,2014-12-08,2014-12-08 00:00:00,6653.0,112.4,114.648,111.62,114.1,57445030
26,2014-12-09,2014-12-09 00:00:00,6653.0,114.12,114.3,109.35,110.19,60112240
27,2014-12-10,2014-12-10 00:00:00,6603.0,111.95,114.85,111.54,114.41,44475360
28,2014-12-11,2014-12-11 00:00:00,6777.0,111.62,113.8,111.34,112.26,41404690
