,timestamp,date,messages,change,close,high,low,open,stock,volume
0,2014-11-13,2014-11-13 00:00:00,3683.0,1.5699999999999932,112.82,113.45,111.6,111.8,aapl,59418180
1,2014-11-14,2014-11-14 00:00:00,4055.0,1.3600000000000136,114.18,114.19,113.05,113.15,aapl,43789060
2,2014-11-15,2014-11-15 00:00:00,4298.0,1.3600000000000136,114.18,114.19,113.05,113.15,aapl,43789060
3,2014-11-16,2014-11-16 00:00:00,4329.0,1.3600000000000136,114.18,114.19,113.05,113.15,aapl,43789060
4,2014-11-17,2014-11-17 00:00:00,4772.0,-0.19000000000001194,113.99,117.28,113.3,114.27,aapl,46687710
5,2014-11-18,2014-11-18 00:00:00,5025.0,1.480000000000004,115.47,115.69,113.89,113.94,aapl,44163250
6,2014-11-19,2014-11-19 00:00:00,5169.0,-0.7999999999999972,114.67,115.74,113.8,115.44,aapl,41815550
7,2014-11-20,2014-11-20 00:00:00,5061.0,1.6400000000000006,116.31,116.86,114.85,114.91,aapl,43148650
8,2014-11-21,2014-11-21 00:00:00,5117.0,0.1599999999999966,116.47,117.57,116.03,117.51,aapl,56759320
9,2014-11-22,2014-11-22 00:00:00,4949.0,0.1599999999999966,116.47,117.57,116.03,117.51,aapl,56759320
10,2014-11-23,2014-11-23 00:00:00,4946.0,0.1599999999999966,116.47,117.57,116.03,117.51,aapl,56759320
11,2014-11-24,2014-11-24 00:00:00,5069.0,2.155000000000001,118.625,118.77,116.62,116.85,aapl,46867340
12,2014-11-25,2014-11-25 00:00:00,6060.0,-1.0250000000000057,117.6,119.75,117.45,119.07,aapl,68719930
13,2014-11-26,2014-11-26 00:00:00,6353.0,1.4000000000000057,119,119.1,117.83,117.94,aapl,40756950
14,2014-11-27,2014-11-27 00:00:00,5989.0,1.4000000000000057,119,119.1,117.83,117.94,aapl,40756950
15,2014-11-28,2014-11-28 00:00:00,5583.0,-0.06999999999999318,118.93,119.4,118.05,119.27,aapl,24814400
16,2014-11-29,2014-11-29 00:00:00,5163.0,-0.06999999999999318,118.93,119.4,118.05,119.27,aapl,24814400
17,2014-11-30,2014-11-30 00:00:00,5165.0,-0.06999999999999318,118.93,119.4,118.05,119.27,aapl,24814400
18,2014-12-01,2014-12-01 00:00:00,5634.0,-3.8600000000000136,115.07,119.25,111.27,118.81,aapl,83657780
19,2014-12-02,2014-12-02 00:00:00,5821.0,-0.4399999999999977,114.63,115.75,112.75,113.5,aapl,59205320
20,2014-12-03,2014-12-03 00:00:00,5451.0,1.3000000000000114,115.93,116.35,115.11,115.75,aapl,42956200
