,timestamp,date,messages,close,high,low,open,stock,volume
0,2014-11-13,2014-11-13 00:00:00,262.0,49.61,49.645,48.705,48.81,msft,26207930
1,2014-11-14,2014-11-14 00:00:00,281.0,49.58,50.045,49.39,49.74,msft,29074940
2,2014-11-15,2014-11-15 00:00:00,280.0,49.58,50.045,49.39,49.74,msft,29074940
3,2014-11-16,2014-11-16 00:00:00,282.0,49.58,50.045,49.39,49.74,msft,29074940
4,2014-11-17,2014-11-17 00:00:00,289.0,49.46,49.705,49.14,49.41,msft,30309630
5,2014-11-18,2014-11-18 00:00:00,308.0,48.74,49.325,48.7,49.13,msft,23938060
6,2014-11-19,2014-11-19 00:00:00,335.0,48.22,48.7549,47.93,48.66,msft,26166200
7,2014-11-20,2014-11-20 00:00:00,319.0,48.7,48.7,47.87,48,msft,21486310
8,2014-11-21,2014-11-21 00:00:00,303.0,47.98,49.05,47.57,49.02,msft,42867970
9,2014-11-22,2014-11-22 00:00:00,313.0,47.98,49.05,47.57,49.02,msft,42867970
10,2014-11-23,2014-11-23 00:00:00,310.0,47.98,49.05,47.57,49.02,msft,42867970
11,2014-11-24,2014-11-24 00:00:00,325.0,47.59,48,47.39,47.99,msft,34266860
12,2014-11-25,2014-11-25 00:00:00,300.0,47.47,47.97,47.45,47.66,msft,27951120
13,2014-11-26,2014-11-26 00:00:00,289.0,47.75,47.99,47.28,47.49,msft,27162850
14,2014-11-27,2014-11-27 00:00:00,265.0,47.75,47.99,47.28,47.49,msft,27162850
15,2014-11-28,2014-11-28 00:00:00,247.0,47.81,48.195,47.61,47.95,msft,21534430
16,2014-11-29,2014-11-29 00:00:00,214.0,47.81,48.195,47.61,47.95,msft,21534430
17,2014-11-30,2014-11-30 00:00:00,219.0,47.81,48.195,47.61,47.95,msft,21534430
18,2014-12-01,2014-12-01 00:00:00,215.0,48.62,48.78,47.71,47.88,msft,31187680
19,2014-12-02,2014-12-02 00:00:00,252.0,48.46,49.05,48.2,48.84,msft,25768100
20,2014-12-03,2014-12-03 00:00:00,236.0,48.08,48.5,47.805,48.44,msft,23528130
21,2014-12-04,2014-12-04 00:00:00,278.0,48.84,49.06,48.2,48.39,msft,30342050
22,2014-12-05,2014-12-05 00:00:00,313.0,48.42,48.97,48.38,48.82,msft,26705270
23,2014-12-06,2014-12-06 00:00:00,349.0,48.42,48.97,48.38,48.82,msft,26705270
24,2014-12-07,2014-12-07 00:00:00,347.0,48.42,48.97,48.38,48.82,msft,26705270
25,2014-12-08,2014-12-08 00:00:00,345.0,47.695,48.35,47.445,48.26,msft,26652610
26,2014-12-09,2014-12-09 00:00:00,302.0,47.59,47.92,47.05,47.11,msft,24326090
27,2014-12-10,2014-12-10 00:00:00,309.0,46.9,47.66,46.7001,47.58,msft,30284690
28,2014-12-11,2014-12-11 00:00:00,316.0,47.17,47.74,46.68,47.08,msft,29060360
29,2014-12-12,2014-12-12 00:00:00,326.0,46.95,47.73,46.67,46.78,msft,34247280
30,2014-12-13,2014-12-13 00:00:00,308.0,46.95,47.73,46.67,46.78,msft,34247280
31,2014-12-14,2014-12-14 00:00:00,320.0,46.95,47.73,46.67,46.78,msft,34247280
32,2014-12-15,2014-12-15 00:00:00,334.0,46.67,47.67,46.55,47.2,msft,29213490
33,2014-12-16,2014-12-16 00:00:00,366.0,45.16,46.34,45.13,45.9,msft,47764300
34,2014-12-17,2014-12-17 00:00:00,390.0,45.74,45.945,44.9,45.05,msft,34967260
35,2014-12-18,2014-12-18 00:00:00,380.0,47.52,47.52,46.3386,46.58,msft,40031480
36,2014-12-19,2014-12-19 00:00:00,333.0,47.66,48.1,47.17,47.63,msft,64504160
37,2014-12-20,2014-12-20 00:00:00,326.0,47.66,48.1,47.17,47.63,msft,64504160
38,2014-12-21,2014-12-21 00:00:00,317.0,47.66,48.1,47.17,47.63,msft,64504160
39,2014-12-22,2014-12-22 00:00:00,289.0,47.98,48.12,47.71,47.78,msft,26561880
40,2014-12-23,2014-12-23 00:00:00,260.0,48.45,48.8,48.13,48.37,msft,23654190
41,2014-12-24,2014-12-24 00:00:00,230.0,48.14,48.64,48.08,48.64,msft,11442790
42,2014-12-25,2014-12-25 00:00:00,200.0,48.14,48.64,48.08,48.64,msft,11442790
43,2014-12-26,2014-12-26 00:00:00,176.0,47.88,48.41,47.82,48.41,msft,13197120
44,2014-12-27,2014-12-27 00:00:00,154.0,47.88,48.41,47.82,48.41,msft,13197120
45,2014-12-28,2014-12-28 00:00:00,152.0,47.88,48.41,47.82,48.41,msft,13197120
46,2014-12-29,2014-12-29 00:00:00,171.0,47.45,47.78,47.26,47.7,msft,14417170
47,2014-12-30,2014-12-30 00:00:00,175.0,47.02,47.62,46.84,47.44,msft,16380820
48,2014-12-31,2014-12-31 00:00:00,180.0,46.45,47.44,46.45,46.73,msft,21551090
49,2015-01-01,2015-01-01 00:00:00,188.0,46.45,47.44,46.45,46.73,msft,21551090
50,2015-01-02,2015-01-02 00:00:00,209.0,46.76,47.42,46.54,46.66,msft,27843560
51,2015-01-03,2015-01-03 00:00:00,216.0,46.76,47.42,46.54,46.66,msft,27843560
52,2015-01-04,2015-01-04 00:00:00,211.0,46.76,47.42,46.54,46.66,msft,27843560
53,2015-01-05,2015-01-05 00:00:00,210.0,46.325,46.73,46.25,46.37,msft,39667400
54,2015-01-06,2015-01-06 00:00:00,205.0,45.65,46.749,45.54,46.38,msft,36434980
55,2015-01-07,2015-01-07 00:00:00,197.0,46.23,46.46,45.49,45.98,msft,29103920
56,2015-01-08,2015-01-08 00:00:00,203.0,47.59,47.7499,46.72,46.75,msft,29634030
57,2015-01-09,2015-01-09 00:00:00,209.0,47.19,47.82,46.9,47.61,msft,23942750
58,2015-01-10,2015-01-10 00:00:00,220.0,47.19,47.82,46.9,47.61,msft,23942750
59,2015-01-11,2015-01-11 00:00:00,223.0,47.19,47.82,46.9,47.61,msft,23942750
60,2015-01-12,2015-01-12 00:00:00,224.0,46.4969,47.54,46.36,47.42,msft,"14,753,757"
