,timestamp,date,messages,close,high,low,open,volume
0,2014-11-13,2014-11-13 00:00:00,853.0,316.48,317.89,311.51,312,3673404
1,2014-11-14,2014-11-14 00:00:00,1052.0,327.82,332.88,316.401,317.12,8874017
2,2014-11-15,2014-11-15 00:00:00,1101.0,327.82,332.88,316.401,317.12,8874017
3,2014-11-16,2014-11-16 00:00:00,1104.0,327.82,332.88,316.401,317.12,8874017
4,2014-11-17,2014-11-17 00:00:00,1173.0,323.05,328,318.03,326.44,4774065
5,2014-11-18,2014-11-18 00:00:00,1176.0,324.93,329.56,323.25,323.99,3539161
6,2014-11-19,2014-11-19 00:00:00,1185.0,326.54,328.4,324.02,327.25,3273627
7,2014-11-20,2014-11-20 00:00:00,1261.0,330.54,332.67,323.33,324,3434710
8,2014-11-21,2014-11-21 00:00:00,1165.0,332.63,338.33,331.47,335.42,4459805
9,2014-11-22,2014-11-22 00:00:00,1028.0,332.63,338.33,331.47,335.42,4459805
10,2014-11-23,2014-11-23 00:00:00,1029.0,332.63,338.33,331.47,335.42,4459805
11,2014-11-24,2014-11-24 00:00:00,983.0,335.64,337.39,333.6,334.78,2744717
12,2014-11-25,2014-11-25 00:00:00,951.0,335.04,336.3325,331.28,335.27,2560829
13,2014-11-26,2014-11-26 00:00:00,911.0,333.57,334.65,331.75,333.78,1983512
14,2014-11-27,2014-11-27 00:00:00,749.0,333.57,334.65,331.75,333.78,1983512
15,2014-11-28,2014-11-28 00:00:00,676.0,338.64,341.26,336.03,336.03,3051798
16,2014-11-29,2014-11-29 00:00:00,623.0,338.64,341.26,336.03,336.03,3051798
17,2014-11-30,2014-11-30 00:00:00,620.0,338.64,341.26,336.03,336.03,3051798
18,2014-12-01,2014-12-01 00:00:00,741.0,326,340.64,325.93,338.12,4937256
19,2014-12-02,2014-12-02 00:00:00,805.0,326.31,327.93,323.25,327.5,2784995
20,2014-12-03,2014-12-03 00:00:00,921.0,316.5,326.77,314.36,325.73,5684164
21,2014-12-04,2014-12-04 00:00:00,1013.0,316.93,318.59,313.47,315.53,3293578
22,2014-12-05,2014-12-05 00:00:00,1058.0,312.63,316.93,310.84,316.8,3258869
23,2014-12-06,2014-12-06 00:00:00,1077.0,312.63,316.93,310.84,316.8,3258869
24,2014-12-07,2014-12-07 00:00:00,1059.0,312.63,316.93,310.84,316.8,3258869
25,2014-12-08,2014-12-08 00:00:00,958.0,306.64,316.56,304.821,311.57,3633879
26,2014-12-09,2014-12-09 00:00:00,924.0,312.5,313.639,301.14,302.99,4032614
27,2014-12-10,2014-12-10 00:00:00,801.0,305.84,313.19,304.68,312,3243973
28,2014-12-11,2014-12-11 00:00:00,749.0,307.36,312.64,306.01,307.89,3268194
29,2014-12-12,2014-12-12 00:00:00,655.0,307.32,310.6399,303.01,303.99,3159206
30,2014-12-13,2014-12-13 00:00:00,627.0,307.32,310.6399,303.01,303.99,3159206
31,2014-12-14,2014-12-14 00:00:00,631.0,307.32,310.6399,303.01,303.99,3159206
32,2014-12-15,2014-12-15 00:00:00,622.0,306.07,310.86,302.15,308.87,3833767
33,2014-12-16,2014-12-16 00:00:00,590.0,295.06,304.49,295.01,304.35,6489013
34,2014-12-17,2014-12-17 00:00:00,600.0,298.88,299.67,293.03,296.37,4429917
35,2014-12-18,2014-12-18 00:00:00,689.0,297.73,304.5,293.25,304.01,7704984
36,2014-12-19,2014-12-19 00:00:00,748.0,299.9,301.54,295.52,296.91,8613310
37,2014-12-20,2014-12-20 00:00:00,750.0,299.9,301.54,295.52,296.91,8613310
38,2014-12-21,2014-12-21 00:00:00,742.0,299.9,301.54,295.52,296.91,8613310
39,2014-12-22,2014-12-22 00:00:00,747.0,306.54,307.36,301.94,301.94,3845409
40,2014-12-23,2014-12-23 00:00:00,705.0,306.285,307.49,303.252,306.98,2718349
41,2014-12-24,2014-12-24 00:00:00,602.0,303.03,307,302.875,306.38,1518107
42,2014-12-25,2014-12-25 00:00:00,448.0,303.03,307,302.875,306.38,1518107
43,2014-12-26,2014-12-26 00:00:00,376.0,309.09,310.7799,303.81,305,2892910
44,2014-12-27,2014-12-27 00:00:00,412.0,309.09,310.7799,303.81,305,2892910
45,2014-12-28,2014-12-28 00:00:00,422.0,309.09,310.7799,303.81,305,2892910
46,2014-12-29,2014-12-29 00:00:00,473.0,312.04,314.27,306.58,307.85,2998390
47,2014-12-30,2014-12-30 00:00:00,480.0,310.3,313.94,309.34,309.91,2091432
48,2014-12-31,2014-12-31 00:00:00,513.0,310.35,312.98,310.01,311.55,2048676
49,2015-01-01,2015-01-01 00:00:00,520.0,310.35,312.98,310.01,311.55,2048676
50,2015-01-02,2015-01-02 00:00:00,514.0,308.52,314.75,306.9601,312.58,2785167
51,2015-01-03,2015-01-03 00:00:00,427.0,308.52,314.75,306.9601,312.58,2785167
52,2015-01-04,2015-01-04 00:00:00,430.0,308.52,314.75,306.9601,312.58,2785167
53,2015-01-05,2015-01-05 00:00:00,404.0,302.19,308.38,300.85,307.01,2768215
54,2015-01-06,2015-01-06 00:00:00,397.0,295.29,303,292.38,302.24,3511003
55,2015-01-07,2015-01-07 00:00:00,407.0,298.42,301.28,295.33,297.5,2630671
56,2015-01-08,2015-01-08 00:00:00,445.0,300.46,303.14,296.11,300.32,3087475
57,2015-01-09,2015-01-09 00:00:00,459.0,296.93,302.87,296.68,301.48,2589914
58,2015-01-10,2015-01-10 00:00:00,460.0,296.93,302.87,296.68,301.48,2589914
59,2015-01-11,2015-01-11 00:00:00,452.0,296.93,302.87,296.68,301.48,2589914
60,2015-01-12,2015-01-12 00:00:00,456.0,291.54,298.51,289.281,297.56,"1,978,047"
