,timestamp,date,messages,close,high,low,open,stock,volume
0,2014-11-13,2014-11-13 00:00:00,1827.0,74.25,75.24,73.64,74.74,fb,26408940
1,2014-11-14,2014-11-14 00:00:00,1662.0,74.88,74.93,74.04,74.27,fb,19416910
2,2014-11-15,2014-11-15 00:00:00,1608.0,74.88,74.93,74.04,74.27,fb,19416910
3,2014-11-16,2014-11-16 00:00:00,1604.0,74.88,74.93,74.04,74.27,fb,19416910
4,2014-11-17,2014-11-17 00:00:00,1625.0,74.24,75.655,73.88,74.88,fb,28669580
5,2014-11-18,2014-11-18 00:00:00,1735.0,74.34,74.8,73.9,74.45,fb,20678330
6,2014-11-19,2014-11-19 00:00:00,1798.0,73.33,74.54,73.11,74.01,fb,25401630
7,2014-11-20,2014-11-20 00:00:00,1895.0,73.6,73.99,72.51,72.8,fb,19128520
8,2014-11-21,2014-11-21 00:00:00,1898.0,73.75,74.5,73.5,74.5,fb,23039660
9,2014-11-22,2014-11-22 00:00:00,1914.0,73.75,74.5,73.5,74.5,fb,23039660
10,2014-11-23,2014-11-23 00:00:00,1910.0,73.75,74.5,73.5,74.5,fb,23039660
11,2014-11-24,2014-11-24 00:00:00,1910.0,74.01,74.35,73.35,73.54,fb,22080500
12,2014-11-25,2014-11-25 00:00:00,1951.0,75.63,75.74,74.13,74.21,fb,32199750
13,2014-11-26,2014-11-26 00:00:00,2210.0,77.62,77.78,75.51,75.53,fb,32686400
14,2014-11-27,2014-11-27 00:00:00,1934.0,77.62,77.78,75.51,75.53,fb,32686400
15,2014-11-28,2014-11-28 00:00:00,1919.0,77.7,78.27,77.23,77.67,fb,15992040
16,2014-11-29,2014-11-29 00:00:00,1833.0,77.7,78.27,77.23,77.67,fb,15992040
17,2014-11-30,2014-11-30 00:00:00,1823.0,77.7,78.27,77.23,77.67,fb,15992040
18,2014-12-01,2014-12-01 00:00:00,1835.0,75.1,77.31,74.8,77.26,fb,31747970
19,2014-12-02,2014-12-02 00:00:00,1682.0,75.46,75.91,75.04,75.33,fb,16750770
20,2014-12-03,2014-12-03 00:00:00,1394.0,74.88,75.73,74.4,75.38,fb,15936750
21,2014-12-04,2014-12-04 00:00:00,1352.0,75.24,75.55,74.66,74.83,fb,14369110
22,2014-12-05,2014-12-05 00:00:00,1425.0,76.36,76.76,75.36,75.8,fb,24273070
23,2014-12-06,2014-12-06 00:00:00,1444.0,76.36,76.76,75.36,75.8,fb,24273070
24,2014-12-07,2014-12-07 00:00:00,1439.0,76.36,76.76,75.36,75.8,fb,24273070
25,2014-12-08,2014-12-08 00:00:00,1421.0,76.52,77.25,75.4,76.18,fb,25674150
26,2014-12-09,2014-12-09 00:00:00,1430.0,76.84,76.93,74.78,75.2,fb,25307530
27,2014-12-10,2014-12-10 00:00:00,1447.0,76.18,77.55,76.07,76.65,fb,32168400
28,2014-12-11,2014-12-11 00:00:00,1601.0,77.73,78.52,76.48,76.52,fb,33465080
29,2014-12-12,2014-12-12 00:00:00,1803.0,77.83,78.88,77.02,77.16,fb,28049760
30,2014-12-13,2014-12-13 00:00:00,1768.0,77.83,78.88,77.02,77.16,fb,28049760
31,2014-12-14,2014-12-14 00:00:00,1775.0,77.83,78.88,77.02,77.16,fb,28049760
32,2014-12-15,2014-12-15 00:00:00,1757.0,76.99,78.58,76.56,78.46,fb,29341660
33,2014-12-16,2014-12-16 00:00:00,1677.0,74.69,77.39,74.59,76.19,fb,31466710
